URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.de/ValueSet/bfarm/icd-10-gm,1.5.4,active,,ICD10GMVS,ICD10GM ValueSet,"ICD-10-GM","StructureDefinition/mii-pr-onko-operation,StructureDefinition/mii-pr-onko-mamma-operation,StructureDefinition/mii-pr-onko-prostata-operation,StructureDefinition/mii-pr-onko-mamma-sozialdienst,StructureDefinition/mii-pr-onko-melanom-exzision,StructureDefinition/mii-pr-onko-krk-operation","de.basisprofil.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-prostata-operation-snomedct,2026.0.3,active,,MII_VS_Onko_Prostata_Operation_SNOMEDCT,MII VS Onko Prostata Operation SNOMED CT,"Value Set für Prostata-spezifische Operationen basierend auf SNOMED CT. Enthält alle Kinder von 118877007 |Procedure on prostate (procedure)|","StructureDefinition/mii-pr-onko-prostata-operation","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-prostata-postsurgical-complications,2026.0.3,active,,MII_VS_Onko_Prostata_Postsurgical_Complications,MII VS Onkologie Prostata Postsurgical Complications,"Value Set für Clavien-Dindo Klassifikation","StructureDefinition/mii-pr-onko-prostate-clavien-dindo","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-prostata-psa-loinc,2026.0.3,active,,MII_VS_Onko_Prostata_PSA_LOINC,MII VS Onko Prostata PSA LOINC,"Value Set für Prostata-spezifisches Antigen (PSA) LOINC Codes. Enthält LOINC Codes für Total-PSA und freies PSA, exkludiert gebundenes PSA Messungen.","StructureDefinition/mii-pr-onko-prostate-psa","LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-seitenlokalisation,2026.0.3,active,,MII_VS_Onko_Seitenlokalisation,MII VS Onkologie Primärtumor Seitenlokalisation,"Codes für Seitenlokalisation, d.h. organspezifische Angabe der betroffenen Seite.","StructureDefinition/mii-pr-onko-histologie-icdo3,StructureDefinition/mii-pr-onko-strahlentherapie-bestrahlung-nuklearmedizin,StructureDefinition/mii-pr-onko-strahlentherapie-bestrahlung-strahlentherapie,StructureDefinition/mii-pr-onko-diagnose-primaertumor,StructureDefinition/mii-ex-onko-strahlentherapie-bestrahlung-seitenlokalisation","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-strahlentherapie-applikationsart,2026.0.3,active,,MII_VS_Onko_Strahlentherapie_Applikationsart,MII VS Onkologie Strahlentherapie Applikationsart,"oBDS-spezifisches Codesystem für Klassifikation von Applikationsart der Strahlentherapie","StructureDefinition/mii-pr-onko-strahlentherapie-bestrahlung-nuklearmedizin,StructureDefinition/mii-pr-onko-strahlentherapie-bestrahlung-strahlentherapie","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-strahlentherapie-boost,2026.0.3,active,,MII_VS_Onko_Strahlentherapie_Boosts,MII VS Onkologie Strahlentherapie Boost,"oBDS-spezifisches ValueSet für Klassifikation von Boosts bei Strahlentherapie","StructureDefinition/mii-pr-onko-strahlentherapie-bestrahlung-nuklearmedizin,StructureDefinition/mii-ex-onko-strahlentherapie-bestrahlung-boost,StructureDefinition/mii-pr-onko-strahlentherapie-bestrahlung-strahlentherapie","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-strahlentherapie-intention,2026.0.3,active,,MII_VS_Onko_Strahlentherapie_Intention,MII VS Onkologie Strahlentherapie Intention,"Value Set für oBDS-Codes für Klassifikation von Intention der Strahlentherapie","StructureDefinition/mii-pr-onko-strahlentherapie,StructureDefinition/mii-ex-onko-strahlentherapie-intention","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-studienteilnahme,2026.0.3,active,,MII_VS_Onko_Studienteilnahme,MII VS Onkologie Studienteilnahme,"Value Set für oBDS-Codes des Studienteilnahme Status","StructureDefinition/mii-pr-onko-studienteilnahme","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-systemische-therapie-art,2026.0.3,active,,MII_VS_Onko_Systemische_Therapie_Art,MII VS Onkologie Systemische Therapie Art,"oBDS-spezifisches ValueSet für Klassifikation der Art der systemischen oder abwartenden Therapie","StructureDefinition/mii-pr-onko-systemische-therapie","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-systemische-therapie-intention,2026.0.3,active,,MII_VS_Onko_Systemische_Therapie_Intention,MII VS Onkologie Systemische Therapie Intention,"Value Set für oBDS-Codes für Klassifikation von Intention der Systemischen Therapie","StructureDefinition/mii-pr-onko-systemische-therapie,StructureDefinition/mii-ex-onko-systemische-therapie-intention","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-systemische-therapie-protokolle,2026.0.3,active,,MII_VS_Onko_Systemische_Therapie_Protokolle,MII VS Onkologie Systemische Therapie Protokolle,"oBDS-spezifisches ValueSet für Protokolle systemischer Therapien","StructureDefinition/mii-pr-onko-systemische-therapie,StructureDefinition/mii-pr-onko-therapieempfehlung-kombinationstherapie","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-systemische-therapie-substanzen,2026.0.3,active,,MII_VS_Onko_Systemische_Therapie_Substanzen,MII VS Onkologie Systemische Therapie Substanzen,"Validierte ATC-Codes für Substanzen der systemischen Therapie basierend auf oBDS Umsetzungsleitfaden. Automatisch generiert und gegen MII-Terminologieserver validiert.",,"de.basisprofil.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-systemische-therapie-substanzen-2018,2026.0.3,active,,MII_VS_Onko_Systemische_Therapie_Substanzen_2018,MII VS Onkologie Systemische Therapie Substanzen ATC 2018,"ATC-Codes für Substanzen der systemischen Therapie, validiert gegen ATC-DE Version 2018. Für historische Datenvalidierung.",,"de.basisprofil.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-systemische-therapie-substanzen-2019,2026.0.3,active,,MII_VS_Onko_Systemische_Therapie_Substanzen_2019,MII VS Onkologie Systemische Therapie Substanzen ATC 2019,"ATC-Codes für Substanzen der systemischen Therapie, validiert gegen ATC-DE Version 2019. Für historische Datenvalidierung.",,"de.basisprofil.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-systemische-therapie-substanzen-2020,2026.0.3,active,,MII_VS_Onko_Systemische_Therapie_Substanzen_2020,MII VS Onkologie Systemische Therapie Substanzen ATC 2020,"ATC-Codes für Substanzen der systemischen Therapie, validiert gegen ATC-DE Version 2020. Für historische Datenvalidierung.","ConceptMap/mii-cm-onko-atc-transitions-2021","de.basisprofil.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-systemische-therapie-substanzen-2021,2026.0.3,active,,MII_VS_Onko_Systemische_Therapie_Substanzen_2021,MII VS Onkologie Systemische Therapie Substanzen ATC 2021,"ATC-Codes für Substanzen der systemischen Therapie, validiert gegen ATC-DE Version 2021. Für historische Datenvalidierung.","ConceptMap/mii-cm-onko-atc-transitions-2021,ConceptMap/mii-cm-onko-atc-transitions-2022","de.basisprofil.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-systemische-therapie-substanzen-2022,2026.0.3,active,,MII_VS_Onko_Systemische_Therapie_Substanzen_2022,MII VS Onkologie Systemische Therapie Substanzen ATC 2022,"ATC-Codes für Substanzen der systemischen Therapie, validiert gegen ATC-DE Version 2022. Für historische Datenvalidierung.","ConceptMap/mii-cm-onko-atc-transitions-2023,ConceptMap/mii-cm-onko-atc-transitions-2022","de.basisprofil.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-systemische-therapie-substanzen-2023,2026.0.3,active,,MII_VS_Onko_Systemische_Therapie_Substanzen_2023,MII VS Onkologie Systemische Therapie Substanzen ATC 2023,"ATC-Codes für Substanzen der systemischen Therapie, validiert gegen ATC-DE Version 2023. Für historische Datenvalidierung.","ConceptMap/mii-cm-onko-atc-transitions-2024,ConceptMap/mii-cm-onko-atc-transitions-2023","de.basisprofil.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-systemische-therapie-substanzen-2024,2026.0.3,active,,MII_VS_Onko_Systemische_Therapie_Substanzen_2024,MII VS Onkologie Systemische Therapie Substanzen ATC 2024,"ATC-Codes für Substanzen der systemischen Therapie, validiert gegen ATC-DE Version 2024. Für historische Datenvalidierung.","ConceptMap/mii-cm-onko-atc-transitions-2025,ConceptMap/mii-cm-onko-atc-transitions-2024","de.basisprofil.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-systemische-therapie-substanzen-2025,2026.0.3,active,,MII_VS_Onko_Systemische_Therapie_Substanzen_2025,MII VS Onkologie Systemische Therapie Substanzen ATC 2025,"ATC-Codes für Substanzen der systemischen Therapie, validiert gegen ATC-DE Version 2025. Für historische Datenvalidierung.","ConceptMap/mii-cm-onko-atc-transitions-2025,ConceptMap/mii-cm-onko-atc-transitions-2026","de.basisprofil.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-systemische-therapie-substanzen-2026,2026.0.3,active,,MII_VS_Onko_Systemische_Therapie_Substanzen_2026,MII VS Onkologie Systemische Therapie Substanzen ATC 2026,"ATC-Codes für Substanzen der systemischen Therapie, validiert gegen ATC-DE Version 2026. Für historische Datenvalidierung.","ConceptMap/mii-cm-onko-atc-transitions-2026","de.basisprofil.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-systemische-therapie-substanzen-unii,2026.0.3,active,,MII_VS_Onko_Systemische_Therapie_Substanzen_UNII,MII VS Onkologie Systemische Therapie Substanzen (UNII),"UNII-Codes für Substanzen der systemischen Therapie ohne ATC-Code. Ergänzung zum ATC-basierten Haupt-ValueSet für neuere und experimentelle onkologische Wirkstoffe.","StructureDefinition/mii-pr-onko-systemische-therapie-medikation","hl7.terminology.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-therapieabweichung,2026.0.3,active,,MII_VS_Onko_Therapieabweichung,MII VS Onkologie Therapieabweichung,"oBDS-spezifisches ValueSet für die Therapieabweichung auf Wunsch des Patients.","StructureDefinition/mii-pr-onko-tumorkonferenz","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-therapieempfehlung-typ,2026.0.3,active,,MII_VS_Onko_Therapieempfehlung_Typ,MII VS Onkologie Therapieempfehlung Typ,"oBDS-spezifisches ValueSet für den Therapieempfehlungstyp","StructureDefinition/mii-pr-onko-tumorkonferenz,StructureDefinition/mii-pr-onko-therapieempfehlung-kombinationstherapie","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-therapieplanung-typ,2026.0.3,active,,MII_VS_Onko_Therapieplanung_Typ,MII VS Onkologie Therapieplanung Typ,"oBDS-spezifisches ValueSet für den Therapieplanungstyp","StructureDefinition/mii-pr-onko-tumorkonferenz","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-tnm-cp-praefix,2026.0.3,active,,MII_VS_Onko_TNM_cp_Praefix,MII VS Onkologie TNM c/p/u Praefix,"Codes für TNM c/p/u-Präfix. Gibt an, ob die Klassifikation klinisch (c), pathologisch (p) oder mittels Ultraschall (u) erfolgte.","StructureDefinition/mii-pr-onko-tnm-m-kategorie,StructureDefinition/mii-ex-onko-tnm-cp-praefix,StructureDefinition/mii-pr-onko-tnm-t-kategorie,StructureDefinition/mii-pr-onko-tnm-n-kategorie","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-tnm-itc-suffix,2026.0.3,active,,MII_VS_Onko_TNM_ITC_Suffix,MII VS Onkologie TNM ITC Suffix,"Das ValueSet enthält die isolierten Tumorzellen (ITC) Suffixe für die N- und M-Kategorien aus der UICC TNM - Klassifikation maligner Tumoren Achte Auflage.","StructureDefinition/mii-ex-onko-tnm-itc-suffix","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-tnm-klassifikation-typ,2026.0.3,active,,MII_VS_Onko_TNM_Klassifikation_Typ,MII VS Onkologie TNM Klassifikation Typ,"Codes für TNM-Klassifikation Typ. Gibt an, ob die Klassifikation klinisch oder pathologisch erfolgte.","StructureDefinition/mii-pr-onko-tnm-klassifikation-synthetisiert,StructureDefinition/mii-pr-onko-tnm-klassifikation","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-tnm-l-kategorie-werte,2026.0.3,active,,MII_VS_Onko_TNM_L_Kategorie_Werte,MII VS Onkologie TNM L Kategorie Werte,"Das ValueSet enthält die TNM Codes für die Beurteilung der Lymphgefäßinvasion aus der UICC TNM - Klassifikation maligner Tumoren Achte Auflage.","StructureDefinition/mii-pr-onko-tnm-l-kategorie","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-tnm-m-kategorie,2026.0.3,active,,MII_VS_Onko_TNM_M_Kategorie,MII VS Onkologie TNM M Kategorie,"Codes für Codes zur Differenzierung der TNM M-Kategorie als entweder klinisch (cN) oder pathologisch (pN)","StructureDefinition/mii-pr-onko-tnm-m-kategorie","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-tnm-m-kategorie-werte,2026.0.3,active,,MII_VS_Onko_TNM_M_Kategorie_Werte,MII VS Onkologie TNM M Kategorie Werte,"Das ValueSet enthält die TNM M-Kategorie Codes aus der UICC TNM - Klassifikation maligner Tumoren Achte Auflage.","StructureDefinition/mii-pr-onko-tnm-m-kategorie","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-tnm-m-kategorie-werte-sct,2026.0.3,active,,MII_VS_Onko_TNM_M_Kategorie_Werte_SCT,MII VS Onkologie TNM M Kategorie Werte SNOMED CT,"SNOMED CT Codes für die TNM M-Kategorie (alle Präfix-Kombinationen: cM, pM, rcM, rpM).","StructureDefinition/mii-pr-onko-tnm-m-kategorie","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-tnm-m-symbol,2026.0.3,active,,MII_VS_Onko_TNM_m_Symbol,MII VS Onkologie TNM m-Symbol,"Kennzeichnet Vorhandensein multipler Primärtumoren in einem anatomischen Bezirk.","StructureDefinition/mii-pr-onko-tnm-m-symbol","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-tnm-n-kategorie,2026.0.3,active,,MII_VS_Onko_TNM_N_Kategorie,MII VS Onkologie TNM N Kategorie,"Codes für Codes zur Differenzierung der TNM N-Kategorie als entweder klinisch (cN) oder pathologisch (pN)","StructureDefinition/mii-pr-onko-tnm-n-kategorie","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-tnm-n-kategorie-werte,2026.0.3,active,,MII_VS_Onko_TNM_N_Kategorie_Werte,MII VS Onkologie TNM N Kategorie Werte,"Das ValueSet enthält die TNM N-Kategorie Codes aus der UICC TNM - Klassifikation maligner Tumoren Achte Auflage.","StructureDefinition/mii-pr-onko-tnm-n-kategorie","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-tnm-n-kategorie-werte-sct,2026.0.3,active,,MII_VS_Onko_TNM_N_Kategorie_Werte_SCT,MII VS Onkologie TNM N Kategorie Werte SNOMED CT,"SNOMED CT Codes für die TNM N-Kategorie (alle Präfix-Kombinationen: cN, pN, ycN, ypN, rcN, rpN).","StructureDefinition/mii-pr-onko-tnm-n-kategorie","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-tnm-pn-kategorie-werte,2026.0.3,active,,MII_VS_Onko_TNM_Pn_Kategorie_Werte,MII VS Onkologie TNM Pn Kategorie Werte,"Das ValueSet enthält die TNM Codes für den Grad der perineuralen Invasion aus der UICC TNM - Klassifikation maligner Tumoren Achte Auflage.","StructureDefinition/mii-pr-onko-tnm-pn-kategorie","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-tnm-s-kategorie-werte,2026.0.3,active,,MII_VS_Onko_TNM_S_Kategorie_Werte,MII VS Onkologie TNM S Kategorie Werte,"Das ValueSet enthält die TNM Codes für Serumtumormarker aus der UICC TNM - Klassifikation maligner Tumoren Achte Auflage.","StructureDefinition/mii-pr-onko-tnm-s-kategorie","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-tnm-sn-suffix,2026.0.3,active,,MII_VS_Onko_TNM_SN_Suffix,MII VS Onkologie TNM SN Suffix,"Das ValueSet enthält das Schildwächterlymphknoten (Sentinel Lymph Node) Suffix für die N-Kategorie aus der UICC TNM - Klassifikation maligner Tumoren Achte Auflage.","StructureDefinition/mii-ex-onko-tnm-sn-suffix","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-tnm-t-kategorie,2026.0.3,active,,MII_VS_Onko_TNM_T_Kategorie,MII VS Onkologie TNM T Kategorie,"Codes für Codes zur Differenzierung der TNM T-Kategorie als entweder klinisch (cT) oder pathologisch (pT)","StructureDefinition/mii-pr-onko-tnm-t-kategorie","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-tnm-t-kategorie-werte,2026.0.3,active,,MII_VS_Onko_TNM_T_Kategorie_Werte,MII VS Onkologie TNM T Kategorie Werte,"Das ValueSet enthält die TNM T-Kategorie Codes aus der UICC TNM - Klassifikation maligner Tumoren Achte Auflage.","StructureDefinition/mii-pr-onko-tnm-t-kategorie","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-tnm-t-kategorie-werte-sct,2026.0.3,active,,MII_VS_Onko_TNM_T_Kategorie_Werte_SCT,MII VS Onkologie TNM T Kategorie Werte SNOMED CT,"SNOMED CT Codes für die TNM T-Kategorie (alle Präfix-Kombinationen: cT, pT, ycT, ypT, rcT, rpT).","StructureDefinition/mii-pr-onko-tnm-t-kategorie","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-tnm-uicc-stadium,2026.0.3,active,,MII_VS_Onko_TNM_UICC_Stadium,MII VS Onkologie TNM UICC Stadium,"The ValueSet enthält Codes für die TNM-Stadien zur prognostischen Gruppeneinteilung von Patienten.","StructureDefinition/mii-pr-onko-tnm-klassifikation-synthetisiert,StructureDefinition/mii-pr-onko-tnm-klassifikation","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-tnm-v-kategorie-werte,2026.0.3,active,,MII_VS_Onko_TNM_V_Kategorie_Werte,MII VS Onkologie TNM V Kategorie Werte,"Das ValueSet enthält die TNM Codes für die Beurteilung der Veneninvasion aus der UICC TNM - Klassifikation maligner Tumoren Achte Auflage.","StructureDefinition/mii-pr-onko-tnm-v-kategorie","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-tnm-version,2026.0.3,active,,MII_VS_Onko_TNM_Version,MII VS Onkologie TNM Version,"Codes für TNM Version/Auflage nach welcher Version des TNM klassifiziert wird.","StructureDefinition/mii-pr-onko-tnm-m-kategorie,StructureDefinition/mii-pr-onko-tnm-l-kategorie,StructureDefinition/mii-pr-onko-tnm-s-kategorie,StructureDefinition/mii-pr-onko-tnm-t-kategorie,StructureDefinition/mii-pr-onko-tnm-klassifikation-synthetisiert,StructureDefinition/mii-pr-onko-tnm-n-kategorie,StructureDefinition/mii-pr-onko-tnm-klassifikation,StructureDefinition/mii-pr-onko-tnm-v-kategorie,StructureDefinition/mii-pr-onko-tnm-pn-kategorie","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-tod,2026.0.3,active,,MII_VS_Onko_Tod,MII VS Onkologie Tod,"Value Set für oBDS-Codes turmorbedingter Tod","StructureDefinition/mii-pr-onko-tod","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-verlauf-fernmetastasen,2026.0.3,active,,MII_VS_Onko_Verlauf_Fernmetastasen,MII VS Onkologie Verlauf Fernmetastasen,"oBDS-spezifisches ValueSet für die Beurteilung der Fernmetastasen im Behandlungsverlauf","StructureDefinition/mii-pr-onko-verlauf","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-verlauf-gesamtbeurteilung,2026.0.3,active,,MII_VS_Onko_Verlauf_Gesamtbeurteilung,MII VS Onkologie Verlauf Gesamtbeurteilung,"oBDS-spezifisches ValueSet für die Gesamtbeurteilung im Behandlungsverlauf","StructureDefinition/mii-pr-onko-verlauf","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-verlauf-lymphknoten,2026.0.3,active,,MII_VS_Onko_Verlauf_Lymphknoten,MII VS Onkologie Verlauf Lymphknoten,"oBDS-spezifisches ValueSet für die Beurteilung der Lymphknoten im Behandlungsverlauf","StructureDefinition/mii-pr-onko-verlauf","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-verlauf-primaertumor,2026.0.3,active,,MII_VS_Onko_Verlauf_Primaertumor,MII VS Onkologie Verlauf Primärtumor,"oBDS-spezifisches ValueSet für die Beurteilung des Primärtumors im Behandlungsverlauf","StructureDefinition/mii-pr-onko-verlauf","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-weitere-klassifikationen,2026.0.3,active,,MII_VS_Onko_Weitere_Klassifikationen,MII Value Set Onkologie - Weitere Klassifikationen,"Comprehensive collection of cancer staging systems and classification schemes used in oncology beyond TNM classification. This includes AJCC, FIGO, hematological classifications, and specialized organ-specific systems. Based on mCODE STU4 and German oBDS catalogue. Covers entity-specific classifications (e.g., FIGO for gynecological tumors), hematological classifications, and WHO classifications for CNS tumors.","StructureDefinition/mii-pr-onko-weitere-klassifikationen","SCT,hl7.terminology.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-weitere-klassifikationen-auspraegungen,2026.0.3,active,,MII_VS_Onko_Weitere_Klassifikationen_Auspraegungen,MII Value Set Onkologie - Weitere Klassifikationen - Auspraegungen,"Comprehensive collection of cancer staging systems and classification schemes used in oncology beyond TNM classification. This includes AJCC, FIGO, hematological classifications, and specialized organ-specific systems. Based on mCODE STU4 and German oBDS catalogue. Covers entity-specific classifications (e.g., FIGO for gynecological tumors), hematological classifications, and WHO classifications for CNS tumors.","StructureDefinition/mii-pr-onko-weitere-klassifikationen","SCT,Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-strahlentherapie-ende-grund,2026.0.3,active,,MII_VS_Onko_Strahlentherapie_Ende_Grund,MII VS Onkologie Strahlentherapie Ende Grund,"oBDS-spezifisches ValueSet für Klassifikation des Grundes der Beendigung der Strahlentherapie","StructureDefinition/mii-pr-onko-strahlentherapie","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-strahlentherapie-stellungzurop,2026.0.3,active,,MII_VS_Onko_Strahlentherapie_StellungZurOp,MII VS Onkologie Strahlentherapie Stellung zur OP,"oBDS-spezifisches ValueSet für Klassifikation von Stellung zur OP","StructureDefinition/mii-pr-onko-strahlentherapie,StructureDefinition/mii-ex-onko-strahlentherapie-stellungzurop","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-strahlentherapie-strahlenart,2026.0.3,active,,MII_VS_Onko_Strahlentherapie_Strahlenart,MII VS Onkologie Strahlentherapie Strahlenart,"oBDS-spezifisches ValueSet für Klassifikation von Strahlenart bei Strahlentherapie","StructureDefinition/mii-pr-onko-strahlentherapie-bestrahlung-nuklearmedizin,StructureDefinition/mii-pr-onko-strahlentherapie-bestrahlung-strahlentherapie","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-strahlentherapie-strahlungseinheit,2026.0.3,active,,MII_VS_Onko_Strahlentherapie_Strahlungseinheit,MII VS Onkologie Strahlentherapie Strahlungseinheit,"oBDS-spezifisches ValueSet für Strahlungseinheit en für Strahlen- und Nuklearmedizinische Therapie","StructureDefinition/mii-pr-onko-strahlentherapie-bestrahlung-nuklearmedizin,StructureDefinition/mii-ex-onko-strahlentherapie-bestrahlung-einzeldosis,StructureDefinition/mii-pr-onko-strahlentherapie-bestrahlung-strahlentherapie,StructureDefinition/mii-ex-onko-strahlentherapie-bestrahlung-gesamtdosis","UCUM"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-strahlentherapie-zielgebiet,2026.0.3,active,,MII_VS_Onko_Strahlentherapie_Zielgebiet,MII VS Onkologie Strahlentherapie Zielgebiet,"oBDS-spezifisches ValueSet für Klassifikation von Zielgebiet bei Strahlentherapie - unterstützt sowohl oBDS 2021 als auch oBDS 2014 Legacy-Codes","StructureDefinition/mii-pr-onko-strahlentherapie-bestrahlung-nuklearmedizin,StructureDefinition/mii-pr-onko-strahlentherapie-bestrahlung-strahlentherapie","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-systemische-therapie-ende-grund,2026.0.3,active,,MII_VS_Onko_Systemische_Therapie_Ende_Grund,MII VS Onkologie Systemische Therapie Ende Grund,"oBDS-spezifisches ValueSet für Klassifikation des Grundes der Beendigung der Systemischen Therapie","StructureDefinition/mii-pr-onko-systemische-therapie","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-systemische-therapie-stellungzurop,2026.0.3,active,,MII_VS_Onko_Systemische_Therapie_StellungZurOp,MII VS Onkologie Systemische Therapie Stellung,"oBDS-spezifisches ValueSet für Klassifikation von Stellung zur OP","StructureDefinition/mii-ex-onko-systemische-therapie-stellungzurop,StructureDefinition/mii-pr-onko-systemische-therapie","Internal"
