"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Onkologie LogicalModel MII Onkologie Mapping","Mapping: RIM Mapping"
"mii-lm-mvgenomseq-onkologie","mii-lm-mvgenomseq-onkologie","","","",0,*,"","","","null {[]} {[]}
","MII LM Modellvorhaben Genomsequenzierung Onkologie","MII LogicalModel Modellvorhaben Genomsequenzierung Onkologie","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.Gen","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.Gen","","","",0,1,"","","","code {[]} {[]}
","Gen","N-terminales Gen","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.Gen",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.GenC","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.GenC","","","",0,1,"","","","code {[]} {[]}
","Gen","C-terminales Gen, falls in-frame und kodierend","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.GenC",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.StrukturTyp","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.StrukturTyp","","","",0,1,"","","","code {[]} {[]}
","Variantentyp","Variantentyp (Inversion, Translokation, Deletion, Insertion, Duplikation)","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.StrukturTyp",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.Beschreibung","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.Beschreibung","","","",0,1,"","","","code {[]} {[]}
","Beschreibung der Variante","Beschreibung der Variante nach HGVS oder ISCN","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.Beschreibung",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.Nachweismethode","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.Nachweismethode","","","",0,1,"","","","code {[]} {[]}
","Nachweismethode","Nachweismethode (DNA / RNA)","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.Nachweismethode",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.Lokalization","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.Lokalization","","","",0,1,"","","","code {[]} {[]}
","Lokalisation der Variante","Lokalisation im kodierenden, regulatorischen oder intergenischen Bereich","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.Lokalization",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante","","","",0,*,"","","","BackboneElement {[]} {[]}
","Expressionsvariante","Expressionsvariante","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.id","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.extension","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.modifierExtension","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.Identifier","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.Identifier","","","",0,1,"","","","string {[]} {[]}
","Identifier","interner Identifikator der Variante","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.Identifier",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.Gen","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.Gen","","","",1,1,"","","","code {[]} {[]}
","Gen","Gen kodiert nach HGNC","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.Gen",1,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.Expression","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.Expression","","","",0,1,"","","","code {[]} {[]}
","Expression","Expression des Gens (über- oder unterexprimiert)","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.Expression",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.Bewertungsgrundlage","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.Bewertungsgrundlage","","","",0,1,"","","","string {[]} {[]}
","Bewertungsgrundlage","Bewertungsgrundlage der Expression (z.B. Vergleichskohorte von 400 Patienten)","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.Bewertungsgrundlage",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.TMB","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.TMB","","","",0,1,"","","","decimal {[]} {[]}
","Tumor Mutational Burden (TMB)","Tumor Mutational Burden (TMB) in Mut/Mb","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.TMB",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.HRD","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.HRD","","","",0,1,"","","","code {[]} {[]}
","Homologous Recombination Deficiency (HRD)","Homologous Recombination Deficiency (HRD) erhöht ja/nein","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.HRD",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.LST","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.LST","","","",0,1,"","","","code {[]} {[]}
","Large Scale Transition (LST)","Large Scale Transition (LST) erhöht ja/nein","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.LST",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.TAI","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.TAI","","","",0,1,"","","","code {[]} {[]}
","Telomeric Allelic Imbalance (TAI)","Telomeric Allelic Imbalance (TAI) erhöht ja/nein","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.TAI",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.SBS","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.SBS","","","",0,1,"","","","code {[]} {[]}
","Single Base Substitution (SBS)","Single Base Substitution (SBS) erhöht ja/nein","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.SBS",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.SBSSignature","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.SBSSignature","","","",0,1,"","","","code {[]} {[]}
","Single Base Substitution Signature","Single Base Substitution Signature","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.SBSSignature",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.Lokalization","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.Lokalization","","","",0,1,"","","","code {[]} {[]}
","Lokalisation der Variante","Lokalisation im kodierenden, regulatorischen oder intergenischen Bereich","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.ExpressionsVariante.Lokalization",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan","mii-lm-mvgenomseq-onkologie.OnkologiePlan","","","",0,*,"","","","BackboneElement {[]} {[]}
","Therapieplan","Therapieplan","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.id","mii-lm-mvgenomseq-onkologie.OnkologiePlan.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.extension","mii-lm-mvgenomseq-onkologie.OnkologiePlan.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.modifierExtension","mii-lm-mvgenomseq-onkologie.OnkologiePlan.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard","mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard","","","",0,*,"","","","BackboneElement {[]} {[]}
","Molekulares Tumorboard","Molekulares Tumorboard","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.id","mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.extension","mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.modifierExtension","mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.Datum","mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.Datum","","","",1,1,"","","","date {[]} {[]}
","Datum","Datum des Tumorboards","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.Datum",1,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.EmpfehlungStudie","mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.EmpfehlungStudie","","","",0,1,"","","","code {[]} {[]}
","Empfehlung Studie","Empfehlung zur Studienteilnahme ja/nein","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.EmpfehlungStudie",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.EmpfehlungBeratung","mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.EmpfehlungBeratung","","","",0,1,"","","","code {[]} {[]}
","Empfehlung humangenetische Beratung","Empfehlung zu einer humangenetischen Beratung ja/nein","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.EmpfehlungBeratung",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.EmpfehlungReevaluation","mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.EmpfehlungReevaluation","","","",0,1,"","","","code {[]} {[]}
","Empfehlung Reevaluation","Empfehlung zur Reevaluation der molekularen Diagnostik ja/nein","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.EmpfehlungReevaluation",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.EmpfehlungOperation","mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.EmpfehlungOperation","","","",0,1,"","","","code {[]} {[]}
","Empfehlung Operation","Empfehlung zur Operation ja/nein","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.EmpfehlungOperation",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.EmpfehlungOperationArt","mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.EmpfehlungOperationArt","","","",0,1,"","","","code {[]} {[]}
","empfohlenene Operation","empfohlenen Operation","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.EmpfehlungOperationArt",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.EmpfehlungOperationRisikoreduzierend","mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.EmpfehlungOperationRisikoreduzierend","","","",0,1,"","","","code {[]} {[]}
","empfohlene Operation ist riskoreduzierend","empfohlenen Operation ist riskoreduzierend ja/nein","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.EmpfehlungOperationRisikoreduzierend",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.EmpfehlungOperationTherapeutisch","mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.EmpfehlungOperationTherapeutisch","","","",0,1,"","","","code {[]} {[]}
","empfohlene Operation ist therapeutisch","empfohlenene Operation ist therapeutisch ja/nein","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.EmpfehlungOperationTherapeutisch",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.DurchgefuehrteOperation","mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.DurchgefuehrteOperation","","","",0,*,"","","","code {[]} {[]}
","Durchgeführte Operation","Durchgeführte Operation nach OPS inkl. Version","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.MolekularesTumorboard.DurchgefuehrteOperation",0,*,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie","mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie","","","",0,*,"","","","BackboneElement {[]} {[]}
","Empfohlene Studieneinschlüsse","Empfohlene Studieneinschlüsse","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.id","mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.extension","mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.modifierExtension","mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.Identifier","mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.Identifier","","","",0,1,"","","","string {[]} {[]}
","Identifier","interner Identifikator der Studie","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.Identifier",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.Register","mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.Register","","","",0,1,"","","","code {[]} {[]}
","Register","Registersystematik, in dem die StudienID angegeben wird (NCT, EudraCT/CTIS, DRKS, andere, unbekannt)","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.Register",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.StudienID","mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.StudienID","","","",0,1,"","","","code {[]} {[]}
","Studie","StudienID in einer Registersystematik","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.StudienID",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.Studienname","mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.Studienname","","","",1,1,"","","","string {[]} {[]}
","Name der Studie","Name der Studie","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.Studienname",1,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.Substanzen","mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.Substanzen","","","",0,*,"","","","code {[]} {[]}
","Substanzen","Substanzen, die in der Studie eingesetzt werden, nach ATC kodiert","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.Substanzen",0,*,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.Evidenzgrad","mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.Evidenzgrad","","","",0,1,"","","","code {[]} {[]}
","Evidenzgrad","Evidenzgrad","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.Evidenzgrad",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.ZusatzverweiseEvidenzgraduierung","mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.ZusatzverweiseEvidenzgraduierung","","","",0,*,"","","","string {[]} {[]}
","Zusatzverweise zur Evidenzgraduierung","Zusatzverweise zur Evidenzgraduierung","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologiePlan.EmpfohleneStudie.ZusatzverweiseEvidenzgraduierung",0,*,"",""
